job_id,simplified_skills
1009088666845,database building and management
1009088666845,database building and management
1009088666845,tableau
1009088666845,power bi
1009088666845,excel
1009088666845,phyton
1009088666845,r
1009088666845,microsoft d365 finance & operations
1009088666845,customer engagement (sales hub)
1009088666845,microsoft ax 2012
1009088666845,html
1009119706233,excel
1009119706233,vba
1009119706233,marcos
1009119706233,power bi
1009119706233,tableau
1009119706233,statistical analysis
1009082610822,data integrity and quality
1009082610822,data construction
1009082610822,database building and management
1009082610822,data analysis
1009082610822,business intelligence
1009082610822,workflow management
1009082610822,stibo
1009082610822,oracle
1009123597736,data science
1009123597736,data science
1009123597736,information management
1009123597736,statistical analysis
1009123597736,sql
1009123597736,business intelligence
1009123597736,aws
1009123597736,ai and machine learning
1009123597736,data modeling
1009123597736,data visualization and reporting
1009123597736,tableau
1009123597736,power bi
1009123597736,claims data
1009123597736,electronic health record (ehr) data
1009123597736,laboratory data
1009123597736,health information exchange (hie) data
1009123597736,prescription data
1008902914481,data analytics
1008902914481,data analysis
1008902914481,data processing
1008902914481,data visualization and reporting
1008902914481,qualitative and quantitative techniques
1008902914481,data analytics
1008902914481,excel
1008902914481,powerpoint
1008902914481,python
1008902914481,tableau
1008902914481,ms word
1009072454326,sql
1009072454326,data analysis
1009072454326,data modeling
1009072454326,data integrity and quality
1009072454326,microsoft azure
1009072454326,google cloud platform
1009072454326,python
1009072454326,database building and management
1009072454326,databricks
1009072454326,pyspark
1009072454326,spark structured streaming
1009072454326,delta live tables
1009072454326,delta sharing
1009072454326,streaming technologies
1009072454326,apache kafka
1009072454326,azure eventhubs
1009072454326,avro
1009072454326,devops
1009072454326,github actions
1009072454326,terraform
1009072454326,artifactory
1009072454326,statistical analysis
1009128621611,data requirements
1009128621611,data solutions
1009128621611,big data ecosystems
1009128621611,data science
1009128621611,data analytics
1009128621611,tools
1009128621611,strategies
1009128621611,algorithms
1009128621611,programming languages
1009128621611,data modeling
1009128621611,database building and management
1009128621611,complex
1009128621611,large-scale data challenges
1009128621611,multi-functional agile teams
1009128621611,product development
1009128621611,delivery responsibility
1009128621611,architectural support
1009128621611,concepts
1009128621611,prototypes
1009128621611,data-driven
1009128621611,identify problems
1009097857210,data analysis
1009097857210,data integrity and quality
1009097857210,power bi
1009097857210,tableau
1009097857210,domo
1009097857210,sql
1009097857210,database building and management
1009097857210,database building and management
1009097857210,olap
1009097857210,oltp
1009097857210,hadoop
1009097857210,communication
1009097857210,retail industry
1009097857210,statistical analysis
1009097857210,quantitative analysis
1009124519975,sql
1009124519975,bigquery
1009124519975,sql
1009124519975,sql
1009124519975,sql
1009124519975,tableau
1009124519975,power bi
1009124519975,r
1009126088189,data analytics
1009126088189,spss/sas
1009126088189,r
1009126088189,data analysis
1009126088189,data analytics
1009126088189,statistical analysis
1009126088189,data manipulation
1009126088189,data cleaning
1009126088189,standardizing
1009126088189,transforming
1009126088189,tableau
1009126088189,behavioral risk factor surveillance survey
1009125966562,sql
1009125966562,database building and management
1009125966562,data analysis
1009125966562,database building and management
1009125966562,web services
1009125966562,hr/ebs
1009125966562,database building and management
1009125966562,data visualization and reporting
1009125966562,customer support
1009125966562,system reliability
1009125966562,system performance
1009125966562,sql
1009125966562,hris certification
1009125966562,healthtech
1009125966562,insurtech
1009125966562,saas
1009125966562,agile
1009125966562,teamwork
1009125966562,time management
1009125966562,adaptable
1009125966562,customer service
1009125966562,communication
1009125966562,collaboration
1009125966562,troubleshooting
1009125966562,healthcare
1009125966562,data integrity and quality
1009125966562,data integrity and quality
1009125966562,data governance
1009125966562,data security
1009125966562,data privacy
1009125966562,data visualization and reporting
