job_id,simplified_skills
1009107080176,data modeling
1009107080176,database building and management
1009107080176,database building and management
1009107080176,python
1009107080176,ai and machine learning
1009107080176,sql
1009107080176,database building and management
1009107080176,etl
1009107080176,database building and management
1009060872972,data analysis
1009060872972,data visualization and reporting
1009060872972,data analytics
1009060872972,database building and management
1009060872972,database building and management
1009060872972,python
1009124553554,data analysis
1009124553554,data analytics
1009124553554,data analytics
1009124553554,data analytics
1009124553554,python
1009124553554,r
1009124553554,spss/sas
1009124553554,sql
1009124553554,tableau
1009124553554,power bi
1009124553554,statistical analysis
1009124553554,ai and machine learning
1009124553554,data modeling
1009124553554,data visualization and reporting
1009124553554,sharepoint
1009124553554,database building and management
1009124553554,data analysis
1009124553554,data visualization and reporting
1009124553554,data visualization and reporting
1009124553554,communication
1009124553554,data science
1009124553554,data science
1009060306124,data analysis
1009060306124,data visualization and reporting
1009060306124,database building and management
1009060306124,data cleaning
1009060306124,etl
1009060306124,statistical analysis
1009060306124,data analytics
1009060306124,tableau
1009060306124,power bi
1009060306124,python
1009060306124,javascript
1009060306124,javascript
1009060306124,sql
1009060306124,excel
1009060306124,spss/sas
1009060306124,spss/sas
1009124574610,excel
1009124574610,sql
1009128189041,sql
1009128189041,data visualization and reporting
1009128189041,python
1009128189041,snowflake
1009128189041,statistical analysis
1009128189041,powerpoint
1009128189041,data analytics
1009088303073,data mining
1009088303073,statistical analysis
1009088303073,data visualization and reporting
1009088303073,sharepoint
1009088303073,sql
1009088303073,data cleaning
1009088303073,r
1009088303073,python
1009088303073,data visualization and reporting
1009127982861,sql
1009127982861,sql
1009127982861,data analysis
1009129615125,statistical analysis
1009129615125,power bi
1009129615125,sharepoint
1009002238783,sql
1009002238783,r
1009002238783,power bi
1009002238783,excel
1009061681050,data mining
1009061681050,etl
1009061681050,data analysis
1009061681050,data visualization and reporting
1009061681050,sql
1009061681050,sql
1009061681050,data visualization and reporting
1009061681050,sql
1009061681050,spss/sas
1009061681050,spss/sas
1009126495239,python
1009126495239,sql
1009126495239,tableau
1009126495239,aws
1009126495239,data analytics
1009126495239,data analytics
1009127673803,sql
1009127673803,tableau
1009127673803,database building and management
1009129512903,data analysis
1009129512903,sql
1009129512903,power bi
1009129512903,data visualization and reporting
1009129512903,database building and management
1009129512903,data visualization and reporting
1009129512903,tableau
1009082272903,sql
1009082272903,data manipulation
1009082272903,data visualization and reporting
1009082272903,business intelligence
1009129304976,data analysis
1009129304976,database building and management
1009129304976,data visualization and reporting
1008810543334,data analytics
1008810543334,sql
1008810543334,data visualization and reporting
1008810543334,excel
1008810543334,ms word
1008810543334,powerpoint
1009088666845,data science
1009088666845,statistical analysis
1009088666845,data science
1009088666845,sql
1009088666845,data manipulation
1009088666845,database building and management
1009088666845,database building and management
1009088666845,tableau
1009088666845,power bi
1009088666845,excel
1009088666845,r
1009119706233,excel
1009119706233,power bi
1009119706233,tableau
1009119706233,statistical analysis
1009082610822,data integrity and quality
1009082610822,database building and management
1009082610822,data analysis
1009082610822,business intelligence
1009123597736,data science
1009123597736,data science
1009123597736,statistical analysis
1009123597736,sql
1009123597736,business intelligence
1009123597736,aws
1009123597736,ai and machine learning
1009123597736,data modeling
1009123597736,data visualization and reporting
1009123597736,tableau
1009123597736,power bi
1008902914481,data analytics
1008902914481,data analysis
1008902914481,data visualization and reporting
1008902914481,data analytics
1008902914481,excel
1008902914481,powerpoint
1008902914481,python
1008902914481,tableau
1008902914481,ms word
1009072454326,sql
1009072454326,data analysis
1009072454326,data modeling
1009072454326,data integrity and quality
1009072454326,python
1009072454326,database building and management
1009072454326,statistical analysis
1009128621611,data science
1009128621611,data analytics
1009128621611,data modeling
1009128621611,database building and management
1009097857210,data analysis
1009097857210,data integrity and quality
1009097857210,power bi
1009097857210,tableau
1009097857210,sql
1009097857210,database building and management
1009097857210,database building and management
1009097857210,communication
1009097857210,statistical analysis
1009124519975,sql
1009124519975,sql
1009124519975,sql
1009124519975,sql
1009124519975,tableau
1009124519975,power bi
1009124519975,r
1009126088189,data analytics
1009126088189,spss/sas
1009126088189,r
1009126088189,data analysis
1009126088189,data analytics
1009126088189,statistical analysis
1009126088189,data manipulation
1009126088189,data cleaning
1009126088189,tableau
1009125966562,sql
1009125966562,database building and management
1009125966562,data analysis
1009125966562,database building and management
1009125966562,database building and management
1009125966562,data visualization and reporting
1009125966562,sql
1009125966562,communication
1009125966562,data integrity and quality
1009125966562,data integrity and quality
1009125966562,data governance
1009125966562,data visualization and reporting
1009125966562,data mining
1009125966562,etl
1009125966562,data analytics
1009125966562,data analytics
1009125966562,data cleaning
1009125966562,database building and management
1009125966562,database building and management
1009125966562,database building and management
1009125966562,database building and management
1009111933299,data visualization and reporting
1009111933299,tableau
1009111933299,excel
1009111933299,aws
1009111933299,python
1009111933299,etl
1009125910982,sql
1009125910982,python
1009125910982,r
1009125910982,power bi
1009125910982,snowflake
1009124105656,data analysis
1009124105656,etl
1009124105656,communication
1009124105656,tableau
1009124105656,data visualization and reporting
1009124105656,data modeling
1009124105656,database building and management
1009124105656,data analytics
1009124105656,sql
1009124105656,python
1009124105656,r
1009127654224,etl
1009127654224,sql
1009127654224,snowflake
1009128595506,data analysis
1009128595506,database building and management
1009128595506,data manipulation
1009128595506,database building and management
1009128595506,data visualization and reporting
1009128595506,data visualization and reporting
1009128595506,data visualization and reporting
1009128595506,power bi
1009128595506,tableau
1009128595506,python
1009128595506,javascript
1009128595506,sql
1009128595506,excel
1009126348897,data analysis
1009126348897,database building and management
1009126348897,sql
1009126348897,python
1009126348897,r
1009126348897,ai and machine learning
1009126348897,aws
1009126348897,statistical analysis
1009113728359,sql
1009113728359,r
1009113728359,tableau
1009113728359,power bi
1009113728359,data visualization and reporting
1009124655523,data mining
1009124655523,database building and management
1009124655523,data visualization and reporting
1009124655523,data modeling
1009124655523,sql
1009124655523,sql
1009124655523,python
1009124655523,tableau
1009124655523,power bi
1009124655523,ai and machine learning
1009124655523,sharepoint
1009125735600,statistical analysis
1009125735600,power bi
1009125735600,data analysis
1009125735600,communication
1009125735600,communication
1009125735600,data modeling
1008985567888,sql
1008985567888,data visualization and reporting
1008985567888,python
1009022576674,data visualization and reporting
1009022576674,power bi
1009022576674,tableau
1009022576674,data analysis
1009022576674,sql
1009022576674,python
1009022576674,r
1009126102530,data visualization and reporting
1009126102530,statistical analysis
1009126102530,spss/sas
1009126102530,sql
1009126102530,r
1009126102530,tableau
1009129852205,sql
1009129852205,tableau
1009129852205,power bi
1009129852205,data modeling
1009129852205,database building and management
1009117226796,data analysis
1009117226796,data mining
1009117226796,data visualization and reporting
1009117226796,python
1009117226796,r
1009117226796,sql
1009117226796,tableau
1009117226796,power bi
1009117226796,database building and management
1009117226796,database building and management
1009117226796,statistical analysis
1009117226796,statistical analysis
1009124627639,database building and management
1009124627639,data visualization and reporting
1009124627639,database building and management
1009124627639,data visualization and reporting
1009124627639,excel
1009124627639,sql
1009124627639,power bi
1009124627639,sql
1009123952888,database building and management
1009123952888,data governance
1009123952888,data integrity and quality
1009123952888,data mining
1009123952888,database building and management
1009123952888,data analytics
1009123952888,aws
1009123952888,sql
1009123952888,sql
1009123952888,sql
1009123952888,python
1009123952888,r
1009123952888,sql
1009123952888,aws
1009123952888,database building and management
1009123952888,data analytics
1009123952888,data visualization and reporting
1009069014496,data analysis
1009069014496,data visualization and reporting
1009069014496,database building and management
1009069014496,data mining
1009069014496,sql
1009069014496,javascript
1009069014496,statistical analysis
1009069014496,excel
1009069014496,spss/sas
1009069014496,spss/sas
1009069014496,data visualization and reporting
1009069014496,data visualization and reporting
1009077820594,data visualization and reporting
1009077820594,sql
1009077820594,python
1009077820594,r
1009077820594,data analysis
1009128064496,data analysis
1009128064496,sql
1009128064496,r
1009128064496,excel
1009128064496,database building and management
1009126749065,data science
1009126749065,data analytics
1009126749065,data mining
1009126749065,statistical analysis
1009126749065,database building and management
1009126749065,aws
1009126749065,statistical analysis
1009126749065,data analytics
1009126749065,python
1009126749065,r
1009126749065,sql
1009126749065,database building and management
1009126749065,power bi
1009126749065,tableau
1009003753039,python
1009003753039,sql
1009003753039,r
1009003753039,data visualization and reporting
1009003753039,database building and management
1009003753039,database building and management
1009079356924,data mining
1009079356924,data modeling
1009079356924,database building and management
1009079356924,excel
1009127890206,excel
1009113921893,database building and management
1009113921893,data visualization and reporting
1009113921893,excel
1009113921893,data modeling
1009113921893,ms word
1009113921893,excel
1009058663975,data analysis
1009058663975,data visualization and reporting
1009058663975,data modeling
1009058663975,database building and management
1009058663975,data governance
1009058663975,database building and management
1009058663975,data manipulation
1009058663975,sql
1009058663975,python
1009058663975,r
1009058663975,excel
1009058663975,tableau
1009058663975,power bi
1009076294489,power bi
1009076294489,data analytics
1009076294489,database building and management
1009076294489,excel
1009076294489,data visualization and reporting
1009126759172,data analysis
1009126759172,data analysis
1009126759172,data analytics
1009126759172,statistical analysis
1009126759172,sql
1009126759172,power bi
1009126759172,data visualization and reporting
1009082647514,data cleaning
1009082647514,data cleaning
1009082647514,data analysis
1009082647514,statistical analysis
1009082647514,python
1009082647514,r
1009082647514,database building and management
1009082647514,sql
1009082647514,tableau
1009082647514,power bi
1009082647514,ms word
1009082647514,data visualization and reporting
1009082647514,ai and machine learning
1009082647514,excel
1009082647514,communication
1009087716717,sql
1009087716717,data modeling
1009087716717,data visualization and reporting
1009087716717,sql
1009087716717,python
1009087716717,power bi
1009087716717,tableau
1009087716717,looker
1009111698320,data analysis
1009111698320,data mining
1009111698320,data modeling
1009111698320,data visualization and reporting
1009111698320,sql
1009111698320,tableau
1009111698320,power bi
1009111698320,statistical analysis
1009111698320,data science
1009124521273,data analytics
1009124521273,sql
1009124521273,excel
1009124521273,power bi
1009124521273,ms word
1009124521273,data analytics
1009127741145,data visualization and reporting
1009127741145,data analysis
1009127741145,data visualization and reporting
1009127741145,sql
1009127741145,data cleaning
1009064005524,data analysis
1009064005524,data cleaning
1009064005524,etl
1009064005524,data visualization and reporting
1009064005524,statistical analysis
1009064005524,ai and machine learning
1009064005524,r
1009064005524,python
1009064005524,sql
1009064005524,power bi
1009064005524,tableau
1009064005524,communication
1008422662450,data analytics
1008422662450,excel
1008422662450,sql
1009128452598,data analysis
1009091550373,data analysis
1009091550373,excel
1009091550373,powerpoint
1009058905187,sql
1009058905187,snowflake
1009115076507,statistical analysis
1009115076507,statistical analysis
1009115076507,excel
1009115076507,statistical analysis
1009115076507,data analytics
1009115076507,statistical analysis
1009115076507,data visualization and reporting
1009115076507,data visualization and reporting
1009115076507,tableau
1009115076507,r
1009115076507,python
1009115076507,spss/sas
1009115076507,sql
1009113206225,data analysis
1009126216285,data analysis
1009126216285,data visualization and reporting
1009126216285,power bi
1009126216285,excel
1009126216285,data analytics
1009126216285,sql
1009126216285,python
1009126216285,r
1009076927719,data analysis
1009076927719,data visualization and reporting
1009076927719,sql
1009128268643,excel
1009128268643,powerpoint
1009128268643,ms word
1009049288360,database building and management
1009049288360,data visualization and reporting
1009049288360,power bi
1009049288360,database building and management
1009049288360,data integrity and quality
1009049288360,data visualization and reporting
1009049288360,sql
1009107745516,data visualization and reporting
1009107745516,data integrity and quality
1009107745516,data analytics
1009107745516,data visualization and reporting
1009107745516,communication
1009107745516,data analysis
1009107745516,business intelligence
1009122314416,etl
1009122314416,data cleaning
1009122314416,data analysis
1009122314416,data integrity and quality
1009122314416,data visualization and reporting
1009122314416,database building and management
1009122314416,database building and management
1009122314416,data analytics
1009122314416,data modeling
1009122314416,database building and management
1009122314416,data mining
1009122314416,data visualization and reporting
1009122314416,sql
1009122314416,python
1009122314416,r
1009122314416,data visualization and reporting
1009122314416,excel
1009067772829,data analysis
1009067772829,data visualization and reporting
1009067772829,data visualization and reporting
1009067772829,tableau
1009067772829,data integrity and quality
1009067772829,data visualization and reporting
1009067772829,communication
1009067772829,data analysis
1009067772829,database building and management
1009078489930,data analysis
1009003860614,data science
1009003860614,python
1009003860614,r
1009003860614,power bi
1009003860614,tableau
1009003860614,statistical analysis
1009003860614,data analysis
1009003860614,sql
1009003860614,aws
1009100393558,data analysis
1009100393558,data manipulation
1009100393558,data visualization and reporting
1009100393558,statistical analysis
1009100393558,statistical analysis
1009100393558,python
1009100393558,r
1009100393558,sql
